Matrix,_-2000:-1201,_-1200:-401,_-400:-399,_400:1199,_1200:1999,all
A549ControlDex100nmSig,0.05254456,0.049977918,0.104354044,0.050738215,0.057003791,0.083201586
A549ControlEtoh02Sig,0.041919308,0.03854868,0.103042521,0.043698149,0.046513859,0.068696808
A549CtcfDex100nmSig,-0.010876454,-0.025278336,-0.018419617,-0.021613304,-0.009398408,-0.034137841
A549CtcfEtoh02Sig,-0.003684215,-0.030271531,-0.029717727,-0.0244317,-0.015170004,-0.039929527
A549H2azDex100nmSig,-0.019650814,-0.049885639,-0.053735286,-0.074341759,-0.03935644,-0.089683387
A549H2azEtoh02Sig,-0.021688374,-0.049529253,-0.044377012,-0.073767444,-0.035034084,-0.081581434
A549H3k04me1Dex100nmSig,0.0550771,0.068764215,0.10778012,0.082417361,0.069386154,0.072866379
A549H3k04me1Etoh02Sig,0.047137459,0.040292324,0.082931382,0.054066004,0.062323623,0.049796439
A549H3k04me2Dex100nmSig,-0.012771455,-0.01850554,-0.018486461,-0.04196691,-0.020778255,-0.039998489
A549H3k04me2Etoh02Sig,-0.009055005,-0.043131689,-0.048970247,-0.05859138,-0.021607969,-0.056539887
A549H3k04me3Dex100nmSig,-0.023046803,-0.046503192,-0.062503692,-0.064440411,-0.03553492,-0.074497109
A549H3k04me3Etoh02Sig,-0.026016303,-0.057944396,-0.074310801,-0.077685652,-0.041605946,-0.084080339
A549H3k09acEtoh02Sig,0.01033492,-0.009220625,-0.018263065,-0.030988144,-0.003614372,-0.027619747
A549H3k09me3Etoh02Sig,-0.005186512,-0.018713163,0.007772426,-0.010069668,0.002880243,-0.006124207
A549H3k27acDex100nmSig,0.056432281,0.064796066,0.043304478,0.031289812,0.036327442,0.027785531
A549H3k27acEtoh02Sig,0.029595996,0.009328505,0.004573282,-0.009968286,0.010596915,-0.003070404
A549H3k27me3Dex100nmSig,-0.015908973,-0.0081959,0.013125403,-3.35E-05,-0.005993101,-0.008217851
A549H3k27me3Etoh02Sig,-0.017742838,-0.012879534,0.020237044,-0.012820595,-0.008216769,-0.011296067
A549H3k36me3Dex100nmSig,0.049403207,0.050323022,0.081935165,0.061485634,0.067231685,0.068939233
A549H3k36me3Etoh02Sig,0.057630989,0.059108951,0.100398924,0.06190498,0.073931052,0.073809332
A549H3k79me2Dex100nmSig,0.018227042,0.011394016,0.018025946,0.009626529,0.023663502,0.017084486
A549H3k79me2Etoh02Sig,0.020613819,0.017919373,0.03894618,0.018933096,0.030033892,0.027286392
A549H4k20me1Etoh02Sig,0.059991285,0.064441177,0.127420764,0.075382976,0.070563573,0.090075624
Cd20ControlSig,-0.020060665,-0.034884507,0.010455997,-0.026041454,-0.023304376,-0.032061756
Cd20CtcfSig,-0.071417114,-0.099352658,-0.101752133,-0.094203054,-0.067963168,-0.116405195
Cd20H2azSig,-0.043851509,-0.084538423,-0.091774139,-0.096399616,-0.056792306,-0.103992208
Cd20H3k04me2Sig,-0.038523761,-0.078123634,-0.085791087,-0.081258573,-0.044962869,-0.082460839
